Path;Type;Description;Identifiant de la donnee;Libelle anglophone;Definition
\Modèle Objets Métier - MOM\Offre - Produit - Service\Caractéristiques Offre Commerciale\Catégorisation de l'offre\Tags;\Univers\Univers\Univers\Concept\Terme métier;Etiquettes de contenu associées à l'offre (ex : climat, agroalimentaire, nouvelles technologies etc).;edff13b3-5f42-474d-baa2-b7aa5732e121;Tags;
\Modèle Objets Métier - MOM\Dossier\Eléments d'instruction\Eléments du projet\Taille cible du fonds;\Univers\Univers\Univers\Concept\Terme métier;Taille cible du fonds;dc5caf9b-f33e-4802-b3d0-04c121ff0de7;Target fund size;
\Modèle Objets Métier - MOM\Tiers\Données descriptives spécifiques\Autres Informations Personne Morale\Taille d’entreprise;\Univers\Univers\Univers\Concept\Terme métier;"La définition de la taille d’une entreprise prend en compte les recommandations de la Communauté Européenne (ET0117660FRN Guide européen définition PME.fr), le décret n° 2008-1354 du 18 décembre 2008 et le guide méthodologique de la Banque de France (BdF methode_stat_info_defaillances_9-juin-2016.pdf).  Une définition plus fine de la Taille d'Entreprise, cohérente avec le décret précité, est proposée par la Banque de France (document BdF methode_stat_info_defaillances_9-juin-2016/pdf).C'est cette définition qui a été retenue pour le niveau le plus fin.  Le niveau le plus fin de définition d'une taille d'entreprise est le suivant :  La microentreprise (Mic)  La Très Petite Entreprise (TPE) La Petite Entreprise (PE) La Moyenne Entreprise (ME) L'Entreprise de Taille Intermédiaire (ETI) La Grande Entreprise (GE) Par regroupement de ces niveaux, il est possible de définir automatiquement les catégories suivantes :  -PME (Hors Mic) : Définition française de la PME (TPE + PE + ME) -PME Européenne : Mic + TPE + PE + ME -GE Européenne : ETI + GE -----------------------------------------------------------------------------Les données retenues pour déterminer la Taille d’Entreprise sont l'effectif, le chiffre d'affaires ( CA) et le total bilan .la taille entreprise est identifiée selon les critères suivant :Mic si son effectif entreprise est inferieur strictement à 10  Et ( son Chiffre d'affaires entreprise est inferieur à ou égal 2M€ Ou son total bilan entreprise est inférieur à ou égal 2M€ )TPE si son effectif entreprise est inferieur strictement à 20 Et (  son Chiffre d'affaires entreprise est inferieur à ou égal 10M€ Ou son total bilan entreprise est inférieur à ou égal 10M€ )PE  si son effectif entreprise est inferieur strictement à 50 ( supérieur à 19) Et ( son Chiffre d'affaires entreprise est inferieur à ou égal 10M€  Ou son total bilan entreprise est inférieur à ou égal 10M€ )ME  si son effectif entreprise est inferieur strictement à 250  Et ( son Chiffre d'affaires entreprise est inferieur à ou égal 50M€ Ou son total bilan entreprise est inférieur à ou égal 43M€ )ETI  si son effectif entreprise est inferieur strictement à 5000 Et ( son Chiffre d'affaires entreprise est inferieur à ou égal 1.5Md€ Ou son total bilan entreprise est inférieur à ou égal 2Md€ )GE  si son effectif entreprise est supérieur ou égal 5000 Et ( son Chiffre d'affaires entreprise est strictement supérieur à 1.5Md€ Ou son total bilan entreprise est supérieur 2Md€ )les données effectif, chiffre d'affaires ( CA) et le total bilan sont afférentes aux derniers exercices comptables clôturés et sont établies sur une base annuelle.=&gt; en pratique si un exercice comptable ne porte pas sur une durée de 12 mois, la donnée chiffre d'affaires doit être annualisée.Pour la détermination de la Taille d'Entreprise, ces chiffres sont établis selon la méthode préconisée par la commission européenne (Chiffres 'retraités', qui se rapprochent de chiffres consolidés sans retraitement des flux intra-groupe).Ainsi dans les cas d’appartenance à un groupe, les liens de dépendances actionnariales ou d’influences économiques doivent être soigneusement pris en compte.  En plus de ces critères généraux, des exceptions existent pour certains types d’investisseur (Sociétés publiques de participation, Sociétés de capital-risque et business Angels; Universités et centres de recherche à but non lucratif, Investisseurs institutionnels, y compris les fonds de développement régional, Autorités locales autonomes).  Règle de stabilité :La Taille d’Entreprise au sein de Bpifrance respecte la règle européenne de stabilité pour toutes les catégories d’entreprises.Cette règle stipule qu’un changement de Taille d’Entreprise doit être confirmé deux ans de suite pour être pris en compte en cas de croissance endogène.En revanche en cas de croissance / ou décroissance exogène (fusion/acquisition, cession), le changement de catégorie est immédiat. -----------------------------------------------------------------------------------------------------------------------------------------------------------------------Annexe - Ressources documentairesa) : Les recommandations de la Communauté Européenne sur la définition d’une PME (ET0117660FRN Guide européen définition PME.fr), voir notamment à compter de la page 25 pour des exemples concrets de calcul de consolidation mettant en jeu les notions d’entreprises liées et d’entreprises partenaires :http://portaildoc/exl-php/vue-consult/doc_recherche_avancee/DOC00025414b) : Le guide méthodologique de la Banque de France (BdF methode_stat_info_defaillances_9-juin-2016.pdf), voir section 4 du document pour la définition de la taille d’entreprise :http://portaildoc/exl-php/vue-consult/doc_popup_notice/DOC00025417";7967e6d1-5d47-4aac-a0ab-81de3a07ad05;European Organisation Size;
\Modèle Objets Métier - MOM\Offre - Produit - Service\Caractéristiques Offre Commerciale\Tiers éligibles\Taille de l'Entreprise Éligible;\Univers\Univers\Univers\Concept\Terme métier;French Categorisation of the Company (according to its Size: PME, TPE…) Eligible to the Customer Offer;7b650bea-a8a6-4f35-ba73-bf53a63a5766;Eligible Company Size;
\Modèle Objets Métier - MOM\Document\Structure physique\Support matériel\Taille du document;\Univers\Univers\Univers\Concept\Terme métier;Taille du document en octets;b46b798e-3ff3-4baa-abfb-99b1332568cd;Content Size;
\Modèle Objets Métier - MOM\Tiers\Données descriptives spécifiques\Informations Fonds\Taille du fonds;\Univers\Univers\Univers\Concept\Terme métier;actif sous gestion dans le fonds;1018c9b4-8cff-45fe-86a6-b1942a84ec72;Fund Size;
\Modèle Objets Métier - MOM\Contrat\Objet du contrat\Actif\Taille du port;\Univers\Univers\Univers\Concept\Terme métier;Taille du port;c86f2ba2-9674-4c2e-8b87-8e386828fae2;Port size;
\Modèle Objets Métier - MOM\Offre - Produit - Service\Caractéristiques Offre Commerciale\Conditions commerciales\Tarif de l'offre;\Univers\Univers\Univers\Concept\Terme métier;Tarif de la l'offre. Tarif de la formation;53696af6-6946-4a77-b048-d992bbfb3919;Price of the offer;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique Innovation\Taux aide global initial;\Univers\Univers\Univers\Concept\Terme métier;Taux d'aide global initialement contractualisé, correspondant à la part du montant total de l'aide retenue HT sur l'assiette totale de dépense éligible retenue. (=en % des dépenses prévisionnelles du projet). Le taux peut être amené à évoluer dans le temps dans certains cas. Note : Aide = Subventions + Avance Remboursable;93156afc-e0ab-4376-b4cd-1091e4d4b437;Initial funding rate;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique Innovation\Taux aide unitaire;\Univers\Univers\Univers\Concept\Terme métier;"se réfère au montant fixe d'aide attribué par unité d'activité ou par unité de mesure spécifique. 
Par exemple, si vous demandez une subvention pour l'achat de matériel, le taux d'aide unitaire pourrait être exprimé en pourcentage du coût total du matériel. Ainsi, si le taux d'aide unitaire est de 50%, vous recevrez une aide équivalente à la moitié du coût du matériel.";c34c6017-4ab0-4e36-be48-d4f152078361;Unit funding rate;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\Taux annuel facture KSP;\Univers\Univers\Univers\Univers\Terme métier;Le taux annuel facture est égal à ? r?^f=r_t^f x n avec r_t^f=?(t&1+arrondi(r^?,2))-1 et r_t^f le taux période facture et r^? le taux équivalent.;e9945d19-1fba-4989-a487-fdddf8c1de19;Annual Invoice Rate;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques générales\Informations de contractualisation\TAUX ANNUEL MONETAIRE;\Univers\Univers\Univers\Univers\Terme métier;Le taux annuel monétaire, ou TAM, est un indice de référence du marché monétaire français. C'est la moyenne capitalisée des douze derniers T4M. Le TAM est calculé par équivalence à un taux de rendement correspondant à un placement mensuel rémunéré au T4M, et renouvelé chaque fin de mois pendant les douze derniers mois, en capitalisant les intérêts.;5ff2469d-6621-4cb8-b64b-2e9e0eae386d;Annual Monetary Rate;
\Modèle Objets Métier - MOM\Evénements\Actions à l'initiative de l'instructeur\Demande Hors Barème\Taux après Demande Hors Barème;\Univers\Univers\Univers\Univers\Terme métier;;d14f2fb0-0ee8-445a-ac0a-ec3d0f52e5b6;;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques générales\Informations de contractualisation\Taux assurance;\Univers\Univers\Univers\Univers\Terme métier;Valeur de taux correspondant au paiement de la partie assurance d'un contrat / d'une créance;c8e97226-0c18-4e6a-b130-031a6ed61ff7;Insurance rate;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques générales\Informations de contractualisation\Taux bonifié;\Univers\Univers\Univers\Univers\Terme métier;Le taux bonifié désigne un taux inférieur à celui pratiqué habituellement pour une même offre de crédit. Il est consenti pour un prêt ayant un impact social ou économique significatif. Un prêt bonifié est donc destiné à une catégorie sociale que l'État souhaite aider en prenant à sa charge une partie des intérêts, d'où le terme bonification.;7ece2cc2-e3fb-4e9c-ab75-101c69f56b43;Subsidized Rate;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\Taux commission engagement;\Univers\Univers\Univers\Univers\Terme métier;"Une commission d'engagement est une commission que les banques perçoivent en échange de la promesse d'un financement futur. Elle est généralement calculée en pourcentage de la fraction des fonds non utilisés par l'emprunteur. Cette commission sert à dédommager l'établissement financier pour son engagement, même si les fonds ne sont pas entièrement utilisés par l'emprunteur.
Le taux de commission d’engagement correspond à la somme du taux de commission de gestion et du taux de commission de confirmation de crédit";a4ee704e-e3da-4bc4-80ac-90d6be10ba28;Commitment fees rate;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique court terme\Taux commission gestion engagement par signature;\Univers\Univers\Univers\Concept\Terme métier;Il s'agit du taux par lequel une banque rénumére la gestion de la ligne de crédit par ses équipes pendant sa durée de vie.;94651324-03a0-4984-87b0-9e41cb1a90fb;Signature commitment management fees rate;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\Taux commission risque;\Univers\Univers\Univers\Univers\Terme métier;Une commission de risque est une charge que les banques imposent pour compenser le risque qu'elles prennent en accordant un financement. Cette commission est généralement calculée en pourcentage du montant du financement et peut varier en fonction du niveau de risque associé à l'emprunteur ou au projet financé.;a8701eb1-5777-4e44-8a19-8b1e3bb72a44;Risk fees rate;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique court terme\Taux commission risque Engagement par signature;\Univers\Univers\Univers\Concept\Terme métier;Il s'agit du taux par lequel une banque rénumére son risque en accordant un engagement par signature à un client.;137d81a1-ed98-4d18-90d3-5de6c18f79ca;Signature commitment risk fees rate;
\Modèle Objets Métier - MOM\Contrat\Caractéristiques spécifiques\Spécifique Assurance Export\Taux d'Actualisation Différé;\Univers\Univers\Univers\Concept\Terme métier;Cette donnée s'applique aux Prêts aux Etats étrangers (PEE). Cette donnée est renseignée à la réception du protocole signé par l'état. Cette donnée calculée s'applique sur tous les contrats en lien avec le protocole et sur toute la durée de ceux-ci.;c4d787cd-7c1c-4643-89c9-852644ecddd7;Protocol-Linked Refund Rate;
\Modèle Objets Métier - MOM\Tiers\Informations financières\Données financières publiées\Taux d'amortissement;\Univers\Univers\Univers\Concept\Terme métier;Le taux d'amortissement est le pourcentage utilisé pour connaître l'amortissement d'un bien.;d48f1e96-858b-4cb4-a701-f07fd2817c9e;Depreciation rate;
\Modèle Objets Métier - MOM\Contrat\Informations de gestion\Eléments financiers\Taux d'indemnité de remboursement forfaitaire;\Univers\Univers\Univers\Univers\Terme métier;"Dans Cassiopae, le Taux d'indemnité de remboursement forfaitaire (TIRF) désigne un pourcentage prédéfini appliqué au capital restant dû d'un prêt ou d'un contrat de crédit-bail en cas :
d'arrêt anticipé (remboursement volontaire, résiliation, défaillance),
d'incident de paiement (dossier en recouvrement ou contentieux).
Ce taux permet de calculer une pénalité financière (indemnité forfaitaire) compensant la perte d'intérêts pour le prêteur/bailleur.";7ab7d770-0f80-4f43-82d8-4a59eb002c6f;Flat Fee Compensation Rate;
